ID,Sex,Region,Children,Est_Income,AgeGroup,Car_Owner,Status
1.000000,F,2.000000,1.000000,38000.000000,1.000000,N,S
6.000000,M,3.000000,2.000000,29616.000000,3.000000,N,M
8.000000,M,1.000000,0.000000,19732.800000,3.000000,N,M
11.000000,M,3.000000,2.000000,96.330000,4.000000,N,S
14.000000,F,3.000000,2.000000,52004.800000,1.000000,N,M
17.000000,M,3.000000,2.000000,53010.800000,1.000000,N,M
18.000000,M,2.000000,1.000000,75004.500000,5.000000,N,M
21.000000,M,1.000000,0.000000,19749.300000,4.000000,N,M
22.000000,M,2.000000,1.000000,57626.900000,3.000000,Y,S
23.000000,M,3.000000,2.000000,20078.000000,2.000000,N,M
24.000000,F,3.000000,2.000000,47902.000000,2.000000,N,M
29.000000,M,2.000000,1.000000,7545.960000,1.000000,Y,M
35.000000,F,1.000000,0.000000,78851.300000,3.000000,N,S
36.000000,F,2.000000,1.000000,17540.700000,4.000000,Y,S
37.000000,F,1.000000,0.000000,83891.900000,4.000000,Y,M
38.000000,F,3.000000,2.000000,28220.800000,3.000000,N,M
40.000000,F,1.000000,0.000000,28589.100000,1.000000,N,S
42.000000,F,3.000000,2.000000,5237.630000,3.000000,N,M
45.000000,M,3.000000,2.000000,89459.900000,4.000000,N,S
48.000000,F,2.000000,1.000000,13576.500000,3.000000,N,S
52.000000,F,3.000000,2.000000,67388.000000,4.000000,N,M
53.000000,F,2.000000,1.000000,57063.000000,4.000000,Y,M
54.000000,F,3.000000,2.000000,84166.100000,4.000000,N,M
60.000000,F,2.000000,1.000000,7737.940000,3.000000,N,S
61.000000,M,3.000000,2.000000,100020.000000,3.000000,N,S
62.000000,F,3.000000,2.000000,45287.600000,2.000000,Y,M
63.000000,F,3.000000,2.000000,59613.100000,2.000000,N,M
65.000000,F,2.000000,1.000000,16326.700000,3.000000,N,S
68.000000,F,3.000000,2.000000,9559.780000,4.000000,N,S
71.000000,F,3.000000,2.000000,42031.800000,3.000000,N,M
73.000000,F,3.000000,2.000000,83284.100000,2.000000,Y,M
74.000000,M,2.000000,1.000000,39229.100000,2.000000,N,M
