ID,Paymethod,LocalBilltype,Customer_Segments,Trips_To_The_Website_Yr,Avg_Spend_Per_Store_Visit,Customer_Loyality_Code,Number_Of_Transactions_Current_Year
1.000000,CC,Budget,High Income Families,46.000000,206.080000,3.000000,12.000000
6.000000,CH,FreeLocal,Low Value and No Kids,15.000000,45.500000,2.000000,15.000000
8.000000,CC,FreeLocal,High Income Families,9.000000,22.440000,3.000000,12.000000
11.000000,CC,Budget,High Income Families,12.000000,32.880000,1.000000,13.000000
14.000000,CH,Budget,Low Value and No Kids,6.000000,23.110000,1.000000,3.000000
17.000000,CC,FreeLocal,High Income Families,12.000000,46.420000,1.000000,6.000000
18.000000,CC,Budget,High Income Families,12.000000,32.190000,1.000000,13.000000
21.000000,CC,Budget,High Income Families,7.000000,13.940000,3.000000,10.000000
22.000000,CC,Budget,High Income Families,10.000000,38.960000,2.000000,5.000000
23.000000,CC,Budget,High Income Families,3.000000,6.330000,4.000000,5.000000
24.000000,Auto,FreeLocal,Married No Kids,14.000000,49.920000,2.000000,9.000000
29.000000,CC,Budget,High Income Families,40.000000,178.360000,3.000000,11.000000
35.000000,CC,FreeLocal,High Income Families,6.000000,28.660000,4.000000,0.000000
36.000000,Auto,Budget,Married No Kids,7.000000,13.450000,4.000000,11.000000
37.000000,CH,Budget,Low Value and No Kids,15.000000,45.470000,4.000000,14.000000
38.000000,CC,FreeLocal,High Income Families,8.000000,12.460000,4.000000,13.000000
40.000000,CC,FreeLocal,High Income Families,20.000000,87.090000,4.000000,7.000000
42.000000,CC,Budget,High Income Families,16.000000,56.640000,2.000000,7.000000
45.000000,CC,FreeLocal,High Income Families,7.000000,22.900000,2.000000,6.000000
48.000000,CC,Budget,High Income Families,8.000000,25.660000,1.000000,7.000000
52.000000,CC,Budget,High Income Families,19.000000,91.040000,3.000000,2.000000
53.000000,CH,Budget,Low Value and No Kids,20.000000,81.300000,4.000000,8.000000
54.000000,CC,Budget,High Income Families,3.000000,11.740000,2.000000,2.000000
